Jogo	Partidas	Votos positivos	Votos negativos	Timestamp
NEDMEG	0	0	0	2/19/2015 2:24:57 PM
TRASH	0	0	0	2/19/2015 2:24:57 PM
NEDMEG	0	0	0	2/22/2015 10:34:54 AM
TRASH	0	0	0	2/22/2015 10:34:54 AM
NEDMEG	0	0	0	2/22/2015 10:35:16 AM
TRASH	0	0	0	2/22/2015 10:35:16 AM
NEDMEG	0	0	0	2/22/2015 10:35:58 AM
TRASH	0	0	0	2/22/2015 10:35:58 AM
REPLANTE	0	0	0	2/22/2015 10:37:16 AM
NEDMEG	0	0	0	2/22/2015 10:37:16 AM
TRASH	0	0	0	2/22/2015 10:37:16 AM
REPLANTE	0	0	0	2/22/2015 10:37:49 AM
NEDMEG	0	0	0	2/22/2015 10:37:49 AM
TRASH	0	0	0	2/22/2015 10:37:49 AM
REPLANTE	0	0	0	2/22/2015 10:38:23 AM
NEDMEG	0	0	0	2/22/2015 10:38:23 AM
TRASH	0	0	0	2/22/2015 10:38:23 AM
REPLANTE	0	0	0	2/22/2015 10:38:36 AM
NEDMEG	0	0	0	2/22/2015 10:38:36 AM
TRASH	0	0	0	2/22/2015 10:38:36 AM
REPLANTE	0	0	0	2/22/2015 10:41:14 AM
NEDMEG	0	0	0	2/22/2015 10:41:14 AM
TRASH	0	0	0	2/22/2015 10:41:14 AM
REPLANTE	0	0	0	2/22/2015 10:41:55 AM
NEDMEG	0	0	0	2/22/2015 10:41:55 AM
TRASH	0	0	0	2/22/2015 10:41:55 AM
REPLANTE	0	0	0	2/22/2015 10:45:29 AM
NEDMEG	0	0	0	2/22/2015 10:45:29 AM
TRASH	0	0	0	2/22/2015 10:45:29 AM
REPLANTE	1	0	1	2/22/2015 10:47:09 AM
NEDMEG	0	0	0	2/22/2015 10:47:09 AM
TRASH	0	0	0	2/22/2015 10:47:09 AM
REPLANTE	1	0	1	2/22/2015 10:47:14 AM
NEDMEG	0	0	0	2/22/2015 10:47:14 AM
TRASH	0	0	0	2/22/2015 10:47:14 AM
NEDMEG	0	0	0	2/22/2015 11:22:14 AM
TRASH	0	0	0	2/22/2015 11:22:14 AM
UNTI	1	1	0	2/22/2015 11:22:14 AM
REPLANTE	1	0	1	2/22/2015 11:22:14 AM
NEDMEG	0	0	0	2/22/2015 11:22:17 AM
TRASH	0	0	0	2/22/2015 11:22:17 AM
UNTI	1	1	0	2/22/2015 11:22:17 AM
REPLANTE	1	0	1	2/22/2015 11:22:17 AM
NEDMEG	0	0	0	2/22/2015 11:27:41 AM
TRASH	0	0	0	2/22/2015 11:27:41 AM
UNTI	1	1	0	2/22/2015 11:27:41 AM
REPLANTE	1	0	1	2/22/2015 11:27:41 AM
NEDMEG	0	0	0	2/22/2015 11:30:19 AM
TRASH	0	0	0	2/22/2015 11:30:19 AM
UNTI	1	1	0	2/22/2015 11:30:19 AM
REPLANTE	1	0	1	2/22/2015 11:30:19 AM
NEDMEG	0	0	0	2/22/2015 11:31:55 AM
TRASH	0	0	0	2/22/2015 11:31:55 AM
UNTI	1	1	0	2/22/2015 11:31:55 AM
REPLANTE	1	0	1	2/22/2015 11:31:55 AM
